packagecode,groupid,modelid,groupname,modelname,hardwareversion,networkprovider,mainfirmwaretype,mainfirmware,coprocfirmwaretype,coprocfirmware,mainsettingsname,mainsettingsid,coprocsettingname,plsign,isvalid,updatedby,updatedat,disable
6,2453,1386,EVMGroup,Bike_BMW_G310GS_Default_2016_P_MT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V7_MAY_23_2024_17,,0000000000000000000000000000000000000000000000000000000000000000,8E7348D6FCC755295409C4D5781634CF6B069BED0FB55FA80A53FD4DBF63DF52,47F1431913E34C3402244A49B77C974567A7251049B85B0308B5A0ED2C40F4C3,false,varashebkanthi@intellicar.in,1740470633005,false
2053,3425,1137,ScooEV_Sigrid,eBike_HEROelectric_NYX e5_HX_2022_EV_AT,SFF-V2,AIOT,,LAFMV2-2G_MC60-SFF-F1V9-AUG_17_2024_11-DNS-AIOT,,LAFC_CAN_FW_V2_4_0-Jun_13_2023-20_28_17,,481CD7DE7A9CD987B66AAB922355A971318F1C8C190DFB2C8C064EBA61B1183A,0000000000000000000000000000000000000000000000000000000000000000,F00F869DFD2A5DE385D4F9AC47E52501173A8AA59C9E4EF55A7DE41ACDF6248C,false,varashebkanthi@intellicar.in,1740470652233,false
15,2541,1202,Upgrid_Mobility,BMS_Greenfuel_48V_V2_2022_EV_AT,P22V9,AIOT,,LAFMV2-4G_EC200UCN-P22V9-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P22V9_AUG_05_2024_11_CHARGER_SENSE,,C0949A5EAC9373902C95E9188A4510FCFCFFF7817F21B951A34BB5974B37A2A8,A068D60FBF78F2D37AA705B18044552588ECF0391AC17F17B57CC5F0DD5B6AED,86C297A31C8628E7BE35B371D38A529184E4C120AEB5F2A17752B5093ACD4E2B,false,varashebkanthi@intellicar.in,1740470633126,false
19,2818,1330,MBSI_PVT_LTD,Bike_Hero_PLEASURE+_Default_2023_P_AT,P25V6,AIOT,,LAFMV2-4G_EC200UCN-P25V6-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V6_SEP_05_2023_14,,0000000000000000000000000000000000000000000000000000000000000000,83E369DE976BB93117B3EB32535631BE678650EB3408040E3DC0B3B0FDA09491,13CCDFEE96BE597057F382CDBAF0184F5BE2ACC66E45E3A35405B2B0EE17F7E8,false,varashebkanthi@intellicar.in,1740470633222,false
23,2541,0,Upgrid_Mobility,____0__,P25V12,AIOT,,LAFMV2-4G_EC200UCN-P25V12-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V12_OCT_03_2024_12,,0000000000000000000000000000000000000000000000000000000000000000,8E7348D6FCC755295409C4D5781634CF6B069BED0FB55FA80A53FD4DBF63DF52,47F1431913E34C3402244A49B77C974567A7251049B85B0308B5A0ED2C40F4C3,false,varashebkanthi@intellicar.in,1740470633359,false
32,3093,1590,Greaves_3W_MLR_Auto,eRickshaw_MLR Auto_Eltra_PV_SEG+Exicom_2024_EV_AT,P25V1,AIRTEL,,LAFMV2-4G_EC200UCN-P25V1-F1V1-JAN_04_2023_12-S,,LAFC_CAN_P25V1_OCT_05_2023_14,,0000000000000000000000000000000000000000000000000000000000000000,BD785C19BDF76EED2F8A034CBF427A0651DE3F6E183767FC91ACCB5ED8AACCCA,344B155D78D177C508231F100D53F11B3FBE6536647339FB1EF4F62AB071B960,false,varashebkanthi@intellicar.in,1740470633451,false
44,4062,0,Waree,____0__,P22V2,AIOT,,LAFMV2-4G_EC200UCN-P22V2-F1V6-MAR_06_2024_16-IP-AIOT,,LAFC_P22V2_1P_V2_4_1_TEST,,C0949A5EAC9373902C95E9188A4510FCFCFFF7817F21B951A34BB5974B37A2A8,681A43C7C02A9432F7001F86351D8DA66B4D572D8CF3FC68A076825536C78486,3045928613D434DDDFE3DD4CC98427510F0B5AE8221B4BBF9BDDC4E9F5C78D00,false,varashebkanthi@intellicar.in,1740470633562,false
53,4385,961,city_Armed_Reserve,Car_Mahindra_Bolero_Default_2021_P_MT,P25V1,AIOT,,LAFMV2-4G_EC200UCN-P25V1-F1V6-MAR_06_2024_16-IP-AIOT,,LAFC_CAN_P25V1_OCT_05_2023_14,,0000000000000000000000000000000000000000000000000000000000000000,00D4BBFB7533E577909129EB3019E243CA4F2A9644DCC3C5673821AC8DA63C77,F825E783C607D4F340E453565AD34699EFD07A0B01B1EEF7894C2C01CDD7B318,false,varashebkanthi@intellicar.in,1740470633653,false
63,3257,1313,Cygni,BMS_Cygni_Cygni_52V_2023_EV_AT,P22V9,AIOT,,LAFMV2-4G_EC200UCN-P22V9-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P22V9_AUG_05_2024_11_CHARGER_SENSE,,C0949A5EAC9373902C95E9188A4510FCFCFFF7817F21B951A34BB5974B37A2A8,A4AC4D6520224EDF0ED5A635F50AAF41716AA0260E17EF6E291F927A8C4EA95D,E7BB0EE11A2CC0FD47635B47A679ABD684E694037ACEE01C3BCD0C74A5848AF8,false,varashebkanthi@intellicar.in,1740470633745,false
73,5571,1764,shizenenergy,BMS_Shizenenergy_74V 120Ah_JBD 21S 300A_2024_EV_AT,P22V9,AIOT,,LAFMV2-4G_EC200UCN-P22V9-F1V9-AUG_17_2024_11-DNS-AIOT,,LAFC_CAN_P22V9_AUG_05_2024_11_CHARGER_SENSE,,470855B023C431BEF84DE391B2E4B4713F162C135947E31C94F179968B68127A,6BF292AEE88F19358C95B9E21E97F8976BBFDC1FE59487A20F365ECDD9340A32,618B29A0EE05E2AB9DBB36CFF49AD8258DAE5FE8A3140142E5F8E216E8002AE7,false,varashebkanthi@intellicar.in,1740470633837,false
